category,subcategory,label,prompt,
Person,Skin,古铜色皮肤,bronze_skin,
Person,Skin,桃花色皮肤,peachy_skin,
Person,Skin,玫瑰色皮肤,rosy_skin,
Person,Skin,晒伤,sunburn,
Person,Skin,雀斑,freckles,
Person,Skin,痣,moles,
Person,Skin,胎记,birthmark,
Person,Skin,疤痕,scar,
Person,Skin,皱纹,wrinkles,
Person,Skin,皮肤干燥,dry_skin,
Person,Skin,皮肤粗糙,rough_skin,
Person,Skin,皮肤光滑,smooth_skin,
Person,Skin,皮肤敏感,sensitive_skin,
Person,Skin,痘痘,acne,
Person,Skin,粉刺,pimples,
Person,Skin,黑头,blackheads,
Person,Skin,白头,whiteheads,
Person,Body,骨感,skinny,
Person,Body,丰满,plump,
Person,Body,魔鬼身材,curvy,
Person,Body,辣妹(日本太妹),gyaru,
Person,Body,怀孕,pregnant,
Person,Body,肥胖,fat,
Person,Body,瘦,thin,
Person,Body,苗条,slender,
Person,Body,魅力,glamor,
Person,Body,高大,tall,
Person,Body,娇小,petite,
Person,Body,萌萌,chibi,
Person,Body,肌肉,muscular,
Person,Body,中等身材,average build,
Person,Body,健壮,robust,
Person,Body,纤细,slim,
Person,Body,运动员身材,athletic build,
Person,Body,梨形身材,pear-shaped body,
Person,Body,苹果型身材,apple-shaped body,
Person,Body,沙漏型身材,hourglass figure,
Person,Body,倒三角形身材,inverted triangle body,
Person,Body,中等身高,average height,
Person,Body,矮,short,
Person,Body,柔弱,frail,
Person,Body,丰腴,voluptuous,
Person,Body,有曲线美,shapely,
Person,Body,发育良好,well-developed,
Person,Body,发育欠佳,underdeveloped,
Person,Body,超重,overweight,
Person,Body,肥胖的,obese,
Person,FaceShape,瘦脸,slender face,
Person,FaceShape,圆脸,round face,
Person,FaceShape,鹅蛋脸,oval face,
Person,FaceShape,娃娃脸,baby face,
Person,FaceShape,倒三角脸,inverted triangle face,
Person,FaceShape,心形脸,heart shaped face,
Person,FaceShape,菱形脸,diamond face,
Person,FaceShape,方脸,square face,
Person,FaceShape,长脸,long face,
Person,FaceShape,三角脸,triangular face,
Person,FaceShape,窄脸,narrow face,
Person,FaceShape,宽脸,wide face,
Person,FaceShape,尖下巴,pointed chin,
Person,FaceShape,圆下巴,round chin,
Person,FaceShape,方下巴,square chin,
Person,FaceShape,双下巴,double chin,
Person,FaceShape,高颧骨,high cheekbones,
Person,FaceShape,低颧骨,low cheekbones,
Person,FaceShape,突出颧骨,prominent cheekbones,
Person,FaceShape,高额头,high forehead,
Person,FaceShape,低额头,low forehead,
Person,FaceShape,宽额头,wide forehead,
Person,FaceShape,窄额头,narrow forehead,
Person,FaceShape,强壮的颌骨,strong jawline,
Person,FaceShape,柔和的颌骨,soft jawline,
Person,FaceShape,梨形脸,pear-shaped face,
Person,FaceShape,长方脸,oblong face,
Person,FaceShape,矩形脸,rectangular face,
Person,Hair,白色头发,white hair,
Person,Hair,金色头发,blonde hair,
Person,Hair,银色头发,silver hair,
Person,Hair,灰色头发,grey hair,
Person,Hair,紫色头发,purple hair,
Person,Hair,红色头发,red hair,
Person,Hair,黄色头发,yellow hair,
Person,Hair,绿色头发,green hair,
Person,Hair,蓝色头发,blue hair,
Person,Hair,黑色头发,black hair,
Person,Hair,棕色头发,brown hair,
Person,Hair,直发,straight_hair,
Person,Hair,短发,short hair,
Person,Hair,卷发,curly hair,
Person,Hair,长发,long hair,
Person,Hair,马尾,pony-tail,
Person,Hair,双马尾,bunches,
Person,Hair,挑染,streaked hair,
Person,Hair,灰色渐变,grey gradient hair,
Person,Hair,亮棕,light brown hair,
Person,Hair,双色,two-tone hair,
Person,Hair,五颜六色,multicolored hair,
Person,Hair,高马尾,high ponytail,
Person,Hair,双马尾,twintails,
Person,Hair,马尾编发,braided ponytail,
Person,Hair,马尾辫,ponytail,
Person,Hair,短马尾,short ponytail,
Person,Hair,双辫子,twin braids,
Person,Hair,中发,medium hair,
Person,Hair,超长发,very long hair,
Person,Hair,辫子刘海,braided bangs,
Person,Hair,侧扫刘海,swept bangs,
Person,Hair,眼间头发,hair between eyes,
Person,Hair,妹妹头,bob cut,
Person,Hair,公主切,hime cut,
Person,Hair,交叉刘海,crossed bangs,
Person,Hair,刘海,bangs,
Person,Hair,齐刘海,blunt bangs,
Person,Hair,空气刘海,air bangs,
Person,Hair,翼状头发,hair wings,
Person,Hair,长刘海,long bangs,
Person,Hair,侧边空气刘海,side_blunt_bangs,
Person,Hair,中分刘海,centre parting bangs,
Person,Hair,不对称刘海,asymmetric bangs,
Person,Hair,蓬发,disheveled hair,
Person,Hair,波浪形头发,wavy hair,
Person,Hair,收拢,hair in takes,
Person,Hair,粉色花,hair pink flowers,
Person,Hair,呆毛,ahoge,
Person,Hair,多根呆毛,antenna hair,
Person,Hair,侧马尾,Side ponytail,
Person,Hair,露额头,forehead,
Person,Hair,钻头卷公主卷,drill hair,
Person,Hair,包子头,hair bun,
Person,Hair,俩包子头,double bun,
Person,Hair,凌乱发型,messy hair,
Person,Hair,发翼,hair_flaps,
Person,Face,化妆,makeup,
Person,Face,粉底,fundoshi,
Person,Face,眼影,eyeshadow,
Person,Face,口红,lipstick,
Person,Face,睫毛膏,mascara,
Person,Face,长睫毛,long_eyelashes,
Person,Face,红唇,red_lips_,
Person,Face,面部涂装,facepaint,
Person,Face,唇彩,lipgloss,
Person,Face,彩色睫毛,colored_eyelashes,
Person,Face,脸红,blush,
Person,Face,淡淡的腮红,light_blush,
Person,Face,动画式脸红,anime_style_blush,
Person,Face,鼻腮红,nose_blush,
Person,Face,鼻血,nosebleed,
Person,Face,脸上有瘀伤,bruise_on_face,
Person,Face,面部标记,facial_mark,
Person,Face,额头标记,forehead_mark,
Person,Face,头部愤怒符号,anger_vein,
Person,Face,痣,mole,
Person,Face,眼睛下方的痣,mole_under_eye,
Person,Face,雀斑,freckles,
Person,Face,食物在脸上,food_on_face,
Person,Face,饭在脸上,rice_on_face,
Person,Face,奶油在脸上,cream_on_face,
Person,Face,小胡子,mustache,
Person,Face,山羊胡,goatee,
Person,Face,胡须斑纹,whisker_markings,
Person,Face,疤痕,scar,
Person,Face,穿过眼睛的疤痕,scar_across_eye,
Person,Face,烟斗,smoking_pipe,
Person,Face,纹身,tattoo,
Person,Ears,精灵耳朵,elf ears,
Person,Ears,动物耳朵,fake animal ears,
Person,Ears,猫耳朵,cat ears,
Person,Ears,狗耳朵,dog ears,
Person,Ears,狐狸耳朵,fox ears,
Person,Ears,兔子耳朵,bunny ears,
Person,Ears,熊耳朵,bear ears,
Person,Ears,狼耳朵,wolf ears,
Person,Ears,马耳朵,horse ears,
Person,Ears,牛耳朵,cow ears,
Person,Ears,老鼠耳朵,mouse ears,
Person,Ears,猪耳朵,pig ears,
Person,Ears,羊耳朵,sheep ears,
Person,Ears,鹿耳朵,deer ears,
Person,Ears,山羊耳朵,goat ears,
Person,Ears,羚羊耳朵,antelope ears,
Person,Ears,犀牛耳朵,rhino ears,
Person,Ears,大象耳朵,elephant ears,
Person,Ears,蝙蝠耳朵,bat ears,
Person,Ears,龙耳朵,dragon ears,
Person,Ears,恶魔耳朵,demon ears,
Person,Ears,天使耳朵,angel ears,
Person,Ears,外星人耳朵,alien ears,
Person,Ears,耳朵通红,ear_blush,
Person,Ears,耳饰,ear_ornament,
Person,Ears,耳洞,ear_piercing,
Person,Ears,兽耳,animal_ears,
Person,Ears,垂耳,ears_down,
Person,Ears,假兽耳,fake_animal_ears,
Person,Ears,松软的耳朵,floppy_ears,
Person,Ears,动物耳朵绒毛,animal_ear_fluff,
Person,Ears,狐狸耳朵,fox_ears,
Person,Ears,猫耳朵,cat_ears,
Person,Ears,狮子耳朵,lion_ears,
Person,Ears,美洲豹耳朵,jaguar_ears,
Person,Ears,虎耳,tiger_ears,
Person,Ears,狗耳朵,dog_ears,
Person,Ears,郊狼耳朵,coyote_ears,
Person,Ears,兔耳,bunny_ears,
Person,Ears,马耳,horse_ears,
Person,Ears,尖耳朵,pointy_ears,
Person,Ears,长尖耳朵,long_pointy_ears,
Person,Ears,老鼠耳朵,mouse_ears,
Person,Ears,浣熊耳朵,raccoon_ears,
Person,Ears,松鼠耳朵,squirrel_ears,
Person,Ears,熊耳朵,bear_ears,
Person,Ears,熊猫耳朵,panda_ears,
Person,Ears,蝙蝠耳朵,bat_ears,
Person,Ears,机器人耳朵,robot_ears,
Person,Ears,额外的耳朵,extra_ears,
Person,Ears,耳朵穿过头饰,ears_through_headwear,
Person,Ears,羊驼耳,alpaca_ears,
Person,Ears,兽角,horns,
Person,Ears,假角,fake_horns,
Person,Ears,角,dragon_horns,
Person,Ears,鬼角,oni_horns,
Person,Ears,鹿角,antlers,
Person,Ears,弯角,curled_horns,
Person,Ears,山羊角,goat_horns,
Person,Ears,角上的头发,hair_on_horn,
Person,Eyebrow,浓眉,thick eyebrows,
Person,Eyebrow,细眉,thin eyebrows,
Person,Eyebrow,眉毛翘起,cocked eyebrow,
Person,Eyebrow,短眉毛,short eyebrows,
Person,Eyebrow,长眉毛,long eyebrows,
